"","year","annual.sst","two.yr.sst","three.yr.sst"
"1900",1900,8.19804845067362,NA,NA
"1901",1901,6.38953985739499,7.29379415403431,NA
"1902",1902,7.65503833753367,7.02228909746433,7.41420888186743
"1903",1903,6.67231697651247,7.16367765702307,6.90563172381371
"1904",1904,6.24371396408727,6.45801547029987,6.85702309271114
"1905",1905,7.4803575227658,6.86203574342653,6.79879615445518
"1906",1906,7.59882215969265,7.53958984122922,7.10763121551524
"1907",1907,5.86141309887171,6.73011762928218,6.98019759377672
"1908",1908,6.21347367142638,6.03744338514904,6.55790297666358
"1909",1909,6.0053951550896,6.10943441325799,6.02676064179589
"1910",1910,6.22074040522178,6.11306778015569,6.14653641057925
"1911",1911,6.9882591413334,6.60449977327759,6.40479823388159
"1912",1912,7.79603644646704,7.39214779390022,7.00167866434074
"1913",1913,7.62632551851372,7.71118098249038,7.47020703543805
"1914",1914,7.25008221467336,7.43820386659354,7.55748139321804
"1915",1915,8.35239718668163,7.80123970067749,7.74293497328957
"1916",1916,6.44858622395744,7.40049170531953,7.35035520843748
"1917",1917,6.81570974395921,6.63214798395832,7.20556438486609
"1918",1918,6.46165602467954,6.63868288431937,6.5753173308654
"1919",1919,6.74058376376828,6.60111989422391,6.67264984413568
"1920",1920,6.99152750583986,6.86605563480407,6.73125576476256
"1921",1921,7.33454475924373,7.1630361325418,7.02221867628396
"1922",1922,7.21300746686757,7.27377611305565,7.17969324398372
"1923",1923,7.57855067650477,7.39577907168617,7.37536763420535
"1924",1924,7.06837002094835,7.32346034872656,7.28664272144023
"1925",1925,6.99695783418914,7.03266392756874,7.21462617721409
"1926",1926,8.68833564904829,7.84264674161871,7.58455450139526
"1927",1927,7.60607190492253,8.14720377698541,7.76378846271998
"1928",1928,7.2155146493266,7.41079327712456,7.83664073443247
"1929",1929,8.20384243006507,7.70967853969584,7.6751429947714
"1930",1930,7.63932578607152,7.9215841080683,7.68622762182107
"1931",1931,7.70242479753991,7.67087529180571,7.84853100455884
"1932",1932,7.42068151695033,7.56155315724512,7.58747736685392
"1933",1933,7.33248215727508,7.3765818371127,7.48519615725511
"1934",1934,7.8922232594341,7.61235270835459,7.54846231121984
"1935",1935,7.90576853913565,7.89899589928488,7.71015798528161
"1936",1936,9.12894613109529,8.51735733511547,8.30897930988835
"1937",1937,8.32572243486842,8.72733428298185,8.45347903503312
"1938",1938,7.51447658333927,7.92009950910384,8.32304838310099
"1939",1939,7.37700545291106,7.44574101812517,7.73906815703958
"1940",1940,8.4370819243292,7.90704368862013,7.77618798685985
"1941",1941,9.08356175882121,8.76032184157521,8.29921637868716
"1942",1942,8.78709042941531,8.93532609411826,8.76924470418857
"1943",1943,7.33681785315275,8.06195414128403,8.40249001379642
"1944",1944,7.96854789058367,7.65268287186821,8.03081872438391
"1945",1945,8.12911956819395,8.04883372938881,7.81149510397679
"1946",1946,7.73748972297957,7.93330464558676,7.94505239391906
"1947",1947,6.89220081424962,7.31484526861459,7.58627003514104
"1948",1948,7.083943180119,6.98807199718431,7.23787790578273
"1949",1949,7.1185666344439,7.10125490728145,7.03157020960417
"1950",1950,7.11493998641769,7.11675331043079,7.10581660032686
"1951",1951,7.6403713732337,7.37765567982569,7.29129266469843
"1952",1952,7.60505022201687,7.62271079762528,7.45345386055609
"1953",1953,7.89546342504521,7.75025682353104,7.71362834009859
"1954",1954,8.06568855264535,7.98057598884528,7.85540073323581
"1955",1955,7.70436382790407,7.88502619027471,7.88850526853154
"1956",1956,7.81101741952201,7.75769062371304,7.86035660002381
"1957",1957,8.64328996092081,8.22715369022141,8.05289040278229
"1958",1958,8.56745860477289,8.60537428284685,8.34058866173857
"1959",1959,8.35262028500438,8.46003944488863,8.52112295023269
"1960",1960,7.95349173868696,8.15305601184567,8.29119020948807
"1961",1961,8.13769014490147,8.04559094179422,8.1479340561976
"1962",1962,8.09840326632063,8.11804670561105,8.06319504996969
"1963",1963,8.50421592593193,8.30130959612628,8.24676977905134
"1964",1964,7.68463558455308,8.09442575524251,8.09575159226855
"1965",1965,7.18784389396509,7.43623973925908,7.79223180148337
"1966",1966,7.36110640751819,7.27447515074164,7.41119529534545
"1967",1967,7.9255282630523,7.64331733528525,7.49149285484519
"1968",1968,7.91818646589915,7.92185736447573,7.73494037882321
"1969",1969,7.42757214109103,7.67287930349509,7.7570956233475
"1970",1970,7.81981282805403,7.62369248457253,7.72185714501474
"1971",1971,6.67885325166086,7.24933303985745,7.30874607360197
"1972",1972,6.69379567541182,6.68632446353634,7.06415391837557
"1973",1973,7.01886032583813,6.85632800062498,6.79716975097027
"1974",1974,7.67776914623876,7.34831473603845,7.13014171582957
"1975",1975,6.93515173718333,7.30646044171105,7.21059373642008
"1976",1976,7.36948566076656,7.15231869897495,7.32746884806289
"1977",1977,8.28283299071093,7.82615932573875,7.52915679622028
"1978",1978,7.74062004437049,8.01172651754071,7.79764623194933
"1979",1979,8.25422856397927,7.99742430417488,8.09256053302023
"1980",1980,7.73830863088369,7.99626859743148,7.91105241307782
"1981",1981,8.52313393416504,8.13072128252437,8.17189037634267
"1982",1982,7.42282115730147,7.97297754573325,7.89475457411673
"1983",1983,8.59019734710455,8.00650925220301,8.17871747952369
"1984",1984,8.66988928367694,8.63004331539075,8.22763592936099
"1985",1985,7.53713726376494,8.10351327372094,8.26574129818214
"1986",1986,7.96526827601095,7.75120276988794,8.05743160781761
"1987",1987,8.14596619705359,8.05561723653227,7.88279057894316
"1988",1988,7.96630015907188,8.05613317806274,8.02584487737881
"1989",1989,8.08228233021994,8.02429124464591,8.06484956211514
"1990",1990,7.91468529154857,7.99848381088426,7.9877559269468
"1991",1991,7.6130262054503,7.76385574849943,7.86999794240627
"1992",1992,7.72979718819261,7.67141169682145,7.75250289506382
"1993",1993,8.33367451901237,8.03173585360249,7.89216597088509
"1994",1994,7.98316954200466,8.15842203050852,8.01554708306988
"1995",1995,7.64681206208964,7.81499080204715,7.98788537436889
"1996",1996,7.79134588440259,7.71907897324612,7.8071091628323
"1997",1997,8.68734302744269,8.23934445592264,8.04183365797831
"1998",1998,8.34834317614635,8.51784310179452,8.27567736266388
"1999",1999,7.40175731107593,7.87505024361114,8.14581450488832
"2000",2000,7.70850371196866,7.55513051152229,7.81953473306365
"2001",2001,7.88187884166837,7.79519127681851,7.66404662157098
"2002",2002,8.08552713009218,7.98370298588028,7.8919698945764
"2003",2003,8.69658807292581,8.39105760150899,8.22133134822879
"2004",2004,8.46776194560031,8.58217500926306,8.4166257162061
"2005",2005,8.79546028189361,8.63161111374696,8.65327010013991
"2006",2006,7.78882783092558,8.2921440564096,8.3506833528065
"2007",2007,7.51377352668593,7.65130067880576,8.03268721316838
"2008",2008,7.37712364395459,7.44544858532026,7.55990833385537
"2009",2009,7.56287630554289,7.46999997474874,7.48459115872781
"2010",2010,8.14488093617062,7.85387862085675,7.6949602952227
"2011",2011,7.91238669119775,8.02863381368418,7.87338131097042
"2012",2012,7.32888397884866,7.6206353350232,7.79538386873901
"2013",2013,8.15893267964323,7.74390832924595,7.80006778322988
"2014",2014,9.07294862593214,8.61594065278769,8.18692176147468
"2015",2015,9.00540826097131,9.03917844345172,8.74576318884889
"2016",2016,9.55650922035178,9.28095874066154,9.21162203575174
"2017",2017,8.47754455233614,9.01702688634396,9.01315401121974
"2018",2018,8.95376156891386,8.715653060625,8.99593844720059
"2019",2019,9.50251994654536,9.22814075772961,8.97794202259845
"2020",2020,8.59401565417647,9.04826780036092,9.0167657232119
